Date,StartDateTime,EndDateTime,Sensor,Translate01,Translate02,Message,SensorType,Activity
2013-03-08,2013-03-08 03:42:57,2013-03-08 03:43:33,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Other_Activity
2013-03-08,2013-03-08 03:43:33,2013-03-08 03:46:31,MA006,Bathroom,Bathroom,ON,Control4-MotionArea,Bed_Toilet_Transition
2013-03-08,2013-03-08 03:46:33,2013-03-08 03:48:13,LS006,Ignore,Ignore,0,Control4-LightSensor,Other_Activity
2013-03-08,2013-03-08 03:48:17,2013-03-08 07:00:52,MA014,Bedroom,Bedroom,ON,Control4-MotionArea,Sleep
2013-03-08,2013-03-08 07:00:53,2013-03-08 07:01:14,MA015,Bedroom,Bedroom,ON,Control4-MotionArea,Other_Activity
2013-03-08,2013-03-08 07:01:14,2013-03-08 07:04:05,MA006,Bathroom,Bathroom,ON,Control4-MotionArea,Toilet
2013-03-08,2013-03-08 07:04:12,2013-03-08 07:04:26,LS004,Ignore,Ignore,3,Control4-LightSensor,Other_Activity
2013-03-08,2013-03-08 07:04:26,2013-03-08 07:22:06,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Dress
2013-03-08,2013-03-08 07:22:15,2013-03-08 07:22:27,M004,LivingRoom,Hall,ON,Control4-Motion,Other_Activity
2013-03-08,2013-03-08 07:22:27,2013-03-08 07:24:35,MA006,Bathroom,Bathroom,ON,Control4-MotionArea,Groom
2013-03-08,2013-03-08 07:24:41,2013-03-08 07:25:55,LS003,Ignore,Ignore,0,Control4-LightSensor,Other_Activity
2013-03-08,2013-03-08 07:25:55,2013-03-08 07:26:41,MA011,Kitchen,Kitchen,ON,Control4-MotionArea,Morning_Meds
2013-03-08,2013-03-08 07:26:42,2013-03-08 07:26:49,LS011,Ignore,Ignore,1,Control4-LightSensor,Other_Activity
2013-03-08,2013-03-08 07:27:06,2013-03-08 07:27:37,M004,LivingRoom,Hall,ON,Control4-Motion,Leave_Home
