Date,StartDateTime,EndDateTime,Sensor,Translate01,Translate02,Message,SensorType,Activity
2013-03-04,2013-03-04 00:47:19,2013-03-04 00:47:27,M004,LivingRoom,Hall,ON,Control4-Motion,Other_Activity
2013-03-04,2013-03-04 00:47:30,2013-03-04 00:49:56,MA006,Bathroom,Bathroom,ON,Control4-MotionArea,Bed_Toilet_Transition
2013-03-04,2013-03-04 00:49:59,2013-03-04 00:50:31,LS006,Ignore,Ignore,0,Control4-LightSensor,Other_Activity
2013-03-04,2013-03-04 00:50:33,2013-03-04 06:10:18,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Sleep
2013-03-04,2013-03-04 06:10:22,2013-03-04 06:12:34,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Other_Activity
2013-03-04,2013-03-04 06:12:34,2013-03-04 06:18:09,MA006,Bathroom,Bathroom,ON,Control4-MotionArea,Personal_Hygiene
2013-03-04,2013-03-04 06:18:22,2013-03-04 06:19:04,LS004,Ignore,Ignore,3,Control4-LightSensor,Other_Activity
2013-03-04,2013-03-04 06:19:04,2013-03-04 06:22:31,M001,Kitchen,Kitchen,ON,Control4-Motion,Cook_Breakfast
2013-03-04,2013-03-04 06:22:32,2013-03-04 06:23:19,MA013,DiningRoom,DiningRoom,ON,Control4-MotionArea,Other_Activity
2013-03-04,2013-03-04 06:23:24,2013-03-04 06:27:00,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Dress
2013-03-04,2013-03-04 06:27:08,2013-03-04 06:27:21,MA016,LivingRoom,LivingRoom,ON,Control4-MotionArea,Other_Activity
2013-03-04,2013-03-04 06:27:23,2013-03-04 06:28:53,M001,Kitchen,Kitchen,ON,Control4-Motion,Cook_Breakfast
2013-03-04,2013-03-04 06:28:54,2013-03-04 06:29:34,LS013,Ignore,Ignore,4,Control4-LightSensor,Other_Activity
2013-03-04,2013-03-04 06:29:38,2013-03-04 06:44:46,MA015,Bedroom,Bedroom,ON,Control4-MotionArea,Eat_Breakfast
2013-03-04,2013-03-04 06:44:50,2013-03-04 06:45:27,MA016,LivingRoom,LivingRoom,ON,Control4-MotionArea,Other_Activity
2013-03-04,2013-03-04 06:45:29,2013-03-04 06:47:35,MA006,Bathroom,Bathroom,ON,Control4-MotionArea,Toilet
2013-03-04,2013-03-04 06:47:36,2013-03-04 06:48:11,LS003,Ignore,Ignore,6,Control4-LightSensor,Other_Activity
2013-03-04,2013-03-04 06:48:11,2013-03-04 06:52:12,MA011,Kitchen,Kitchen,ON,Control4-MotionArea,Wash_Breakfast_Dishes
2013-03-04,2013-03-04 06:52:12,2013-03-04 06:53:06,LS013,Ignore,Ignore,4,Control4-LightSensor,Other_Activity
2013-03-04,2013-03-04 06:53:10,2013-03-04 07:02:03,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Watch_TV
2013-03-04,2013-03-04 07:02:04,2013-03-04 07:02:13,LS002,Ignore,Ignore,36,Control4-LightSensor,Other_Activity
2013-03-04,2013-03-04 07:02:13,2013-03-04 07:03:03,MA011,Kitchen,Kitchen,ON,Control4-MotionArea,Morning_Meds
2013-03-04,2013-03-04 07:03:04,2013-03-04 07:04:04,LS011,Ignore,Ignore,0,Control4-LightSensor,Other_Activity
2013-03-04,2013-03-04 07:04:04,2013-03-04 07:04:44,M004,LivingRoom,Hall,ON,Control4-Motion,Leave_Home
2013-03-04,2013-03-04 07:11:12,2013-03-04 09:34:26,LS014,Ignore,Ignore,1,Control4-LightSensor,Other_Activity
2013-03-04,2013-03-04 09:35:43,2013-03-04 09:35:59,D002,OutsideDoor,FrontDoor,OPEN,Control4-Door,Enter_Home
2013-03-04,2013-03-04 09:36:00,2013-03-04 09:36:00,LS006,Ignore,Ignore,65,Control4-LightSensor,Other_Activity
2013-03-04,2013-03-04 09:36:02,2013-03-04 09:42:17,MA006,Bathroom,Bathroom,ON,Control4-MotionArea,Personal_Hygiene
2013-03-04,2013-03-04 09:42:22,2013-03-04 09:42:22,LS003,Ignore,Ignore,3,Control4-LightSensor,Other_Activity
2013-03-04,2013-03-04 09:42:23,2013-03-04 09:42:30,M003,OutsideDoor,Entry,ON,Control4-Motion,Leave_Home
2013-03-04,2013-03-04 09:42:55,2013-03-04 15:45:52,LS011,Ignore,Ignore,7,Control4-LightSensor,Other_Activity
2013-03-04,2013-03-04 15:48:08,2013-03-04 15:48:59,D002,OutsideDoor,FrontDoor,OPEN,Control4-Door,Enter_Home
2013-03-04,2013-03-04 15:49:04,2013-03-04 15:49:09,MA013,DiningRoom,DiningRoom,ON,Control4-MotionArea,Other_Activity
2013-03-04,2013-03-04 15:49:09,2013-03-04 15:50:07,MA011,Kitchen,Kitchen,ON,Control4-MotionArea,Drink
2013-03-04,2013-03-04 15:50:08,2013-03-04 15:50:16,MA013,DiningRoom,DiningRoom,ON,Control4-MotionArea,Other_Activity
2013-03-04,2013-03-04 15:50:23,2013-03-04 15:54:00,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Watch_TV
2013-03-04,2013-03-04 15:54:13,2013-03-04 15:54:16,LS013,Ignore,Ignore,19,Control4-LightSensor,Other_Activity
2013-03-04,2013-03-04 15:54:16,2013-03-04 15:54:34,MA011,Kitchen,Kitchen,ON,Control4-MotionArea,Drink
2013-03-04,2013-03-04 15:54:35,2013-03-04 15:54:43,MA013,DiningRoom,DiningRoom,ON,Control4-MotionArea,Other_Activity
2013-03-04,2013-03-04 15:54:49,2013-03-04 16:12:29,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Watch_TV
2013-03-04,2013-03-04 16:12:40,2013-03-04 16:12:41,LS013,Ignore,Ignore,11,Control4-LightSensor,Other_Activity
2013-03-04,2013-03-04 16:12:52,2013-03-04 16:22:26,MA011,Kitchen,Kitchen,ON,Control4-MotionArea,Cook_Dinner
2013-03-04,2013-03-04 16:22:27,2013-03-04 16:23:57,LS013,Ignore,Ignore,9,Control4-LightSensor,Other_Activity
2013-03-04,2013-03-04 16:24:06,2013-03-04 17:00:48,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Watch_TV
2013-03-04,2013-03-04 17:00:53,2013-03-04 17:01:01,LS016,Ignore,Ignore,6,Control4-LightSensor,Other_Activity
