Date,StartDateTime,EndDateTime,Sensor,Translate01,Translate02,Message,SensorType,Activity
2013-03-07,2013-03-07 01:50:17,2013-03-07 01:50:51,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Other_Activity
2013-03-07,2013-03-07 01:50:51,2013-03-07 01:54:31,MA006,Bathroom,Bathroom,ON,Control4-MotionArea,Bed_Toilet_Transition
2013-03-07,2013-03-07 01:54:39,2013-03-07 01:55:29,LS003,Ignore,Ignore,9,Control4-LightSensor,Other_Activity
2013-03-07,2013-03-07 01:55:30,2013-03-07 07:54:15,MA015,Bedroom,Bedroom,ON,Control4-MotionArea,Sleep
2013-03-07,2013-03-07 07:54:17,2013-03-07 07:55:29,MA015,Bedroom,Bedroom,ON,Control4-MotionArea,Other_Activity
2013-03-07,2013-03-07 07:55:36,2013-03-07 08:00:22,MA006,Bathroom,Bathroom,ON,Control4-MotionArea,Personal_Hygiene
2013-03-07,2013-03-07 08:00:27,2013-03-07 08:01:37,M004,LivingRoom,Hall,ON,Control4-Motion,Other_Activity
2013-03-07,2013-03-07 08:01:37,2013-03-07 08:11:22,MA011,Kitchen,Kitchen,ON,Control4-MotionArea,Cook_Breakfast
2013-03-07,2013-03-07 08:11:22,2013-03-07 08:11:41,LS011,Ignore,Ignore,4,Control4-LightSensor,Other_Activity
2013-03-07,2013-03-07 08:11:48,2013-03-07 08:24:22,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Eat_Breakfast
2013-03-07,2013-03-07 08:24:26,2013-03-07 09:19:04,MA015,Bedroom,Bedroom,ON,Control4-MotionArea,Watch_TV
2013-03-07,2013-03-07 09:19:11,2013-03-07 09:19:15,M004,LivingRoom,Hall,ON,Control4-Motion,Other_Activity
2013-03-07,2013-03-07 09:19:15,2013-03-07 09:21:27,MA006,Bathroom,Bathroom,ON,Control4-MotionArea,Toilet
2013-03-07,2013-03-07 09:21:30,2013-03-07 09:21:40,LS004,Ignore,Ignore,5,Control4-LightSensor,Other_Activity
2013-03-07,2013-03-07 09:21:40,2013-03-07 09:31:24,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Dress
2013-03-07,2013-03-07 09:31:25,2013-03-07 09:31:37,LS013,Ignore,Ignore,7,Control4-LightSensor,Other_Activity
2013-03-07,2013-03-07 09:31:37,2013-03-07 09:31:37,M001,Kitchen,Kitchen,ON,Control4-Motion,Morning_Meds
2013-03-07,2013-03-07 09:31:38,2013-03-07 09:31:38,LS013,Ignore,Ignore,10,Control4-LightSensor,Other_Activity
2013-03-07,2013-03-07 09:31:38,2013-03-07 09:32:01,MA011,Kitchen,Kitchen,ON,Control4-MotionArea,Morning_Meds
2013-03-07,2013-03-07 09:32:04,2013-03-07 09:32:21,LS013,Ignore,Ignore,7,Control4-LightSensor,Other_Activity
2013-03-07,2013-03-07 09:32:23,2013-03-07 09:34:13,MA006,Bathroom,Bathroom,ON,Control4-MotionArea,Toilet
2013-03-07,2013-03-07 09:34:15,2013-03-07 09:34:52,LS006,Ignore,Ignore,3,Control4-LightSensor,Other_Activity
2013-03-07,2013-03-07 09:34:58,2013-03-07 09:40:26,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Dress
2013-03-07,2013-03-07 09:40:45,2013-03-07 09:40:52,LS012,Ignore,Ignore,17,Control4-LightSensor,Other_Activity
2013-03-07,2013-03-07 09:40:52,2013-03-07 09:41:53,M001,Kitchen,Kitchen,ON,Control4-Motion,Drink
2013-03-07,2013-03-07 09:41:55,2013-03-07 09:46:13,LS013,Ignore,Ignore,7,Control4-LightSensor,Other_Activity
2013-03-07,2013-03-07 09:46:13,2013-03-07 09:46:27,M004,LivingRoom,Hall,ON,Control4-Motion,Leave_Home
2013-03-07,2013-03-07 09:49:44,2013-03-07 11:26:12,LS014,Ignore,Ignore,7,Control4-LightSensor,Other_Activity
2013-03-07,2013-03-07 11:29:32,2013-03-07 11:29:48,D002,OutsideDoor,FrontDoor,OPEN,Control4-Door,Enter_Home
2013-03-07,2013-03-07 11:29:51,2013-03-07 11:29:51,LS007,Ignore,Ignore,13,Control4-LightSensor,Other_Activity
2013-03-07,2013-03-07 11:29:51,2013-03-07 11:33:21,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Dress
2013-03-07,2013-03-07 11:33:27,2013-03-07 11:33:34,M004,LivingRoom,Hall,ON,Control4-Motion,Other_Activity
