Date,StartDateTime,EndDateTime,Sensor,Translate01,Translate02,Message,SensorType,Activity
2013-03-05,2013-03-05 04:25:48,2013-03-05 04:28:55,MA015,Bedroom,Bedroom,ON,Control4-MotionArea,Other_Activity
2013-03-05,2013-03-05 04:28:55,2013-03-05 04:34:11,MA006,Bathroom,Bathroom,ON,Control4-MotionArea,Bed_Toilet_Transition
2013-03-05,2013-03-05 04:34:15,2013-03-05 04:36:14,LS006,Ignore,Ignore,0,Control4-LightSensor,Other_Activity
2013-03-05,2013-03-05 04:36:15,2013-03-05 08:39:34,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Sleep
2013-03-05,2013-03-05 08:39:57,2013-03-05 08:42:55,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Other_Activity
2013-03-05,2013-03-05 08:42:55,2013-03-05 08:48:50,MA011,Kitchen,Kitchen,ON,Control4-MotionArea,Cook_Breakfast
2013-03-05,2013-03-05 08:48:51,2013-03-05 08:49:21,LS013,Ignore,Ignore,7,Control4-LightSensor,Other_Activity
2013-03-05,2013-03-05 08:49:21,2013-03-05 08:54:25,MA006,Bathroom,Bathroom,ON,Control4-MotionArea,Personal_Hygiene
2013-03-05,2013-03-05 08:54:31,2013-03-05 08:55:10,LS004,Ignore,Ignore,4,Control4-LightSensor,Other_Activity
2013-03-05,2013-03-05 08:55:10,2013-03-05 09:06:16,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Eat_Breakfast
2013-03-05,2013-03-05 09:06:24,2013-03-05 09:06:28,M004,LivingRoom,Hall,ON,Control4-Motion,Other_Activity
2013-03-05,2013-03-05 09:06:30,2013-03-05 09:08:28,MA006,Bathroom,Bathroom,ON,Control4-MotionArea,Toilet
2013-03-05,2013-03-05 09:08:30,2013-03-05 09:09:39,LS003,Ignore,Ignore,9,Control4-LightSensor,Other_Activity
2013-03-05,2013-03-05 09:09:39,2013-03-05 09:13:03,MA015,Bedroom,Bedroom,ON,Control4-MotionArea,Dress
2013-03-05,2013-03-05 09:13:08,2013-03-05 09:13:18,MA016,LivingRoom,LivingRoom,ON,Control4-MotionArea,Other_Activity
2013-03-05,2013-03-05 09:13:19,2013-03-05 09:15:08,MA011,Kitchen,Kitchen,ON,Control4-MotionArea,Morning_Meds
2013-03-05,2013-03-05 09:15:10,2013-03-05 09:15:32,LS013,Ignore,Ignore,9,Control4-LightSensor,Other_Activity
2013-03-05,2013-03-05 09:15:32,2013-03-05 09:18:21,MA015,Bedroom,Bedroom,ON,Control4-MotionArea,Dress
2013-03-05,2013-03-05 09:18:23,2013-03-05 09:18:26,LS006,Ignore,Ignore,66,Control4-LightSensor,Other_Activity
2013-03-05,2013-03-05 09:18:31,2013-03-05 09:19:08,M004,LivingRoom,Hall,ON,Control4-Motion,Leave_Home
2013-03-05,2013-03-05 09:21:21,2013-03-05 09:41:21,LS012,Ignore,Ignore,15,Control4-LightSensor,Other_Activity
2013-03-05,2013-03-05 09:43:44,2013-03-05 09:43:59,D002,OutsideDoor,FrontDoor,OPEN,Control4-Door,Enter_Home
