Date,StartDateTime,EndDateTime,Sensor,Translate01,Translate02,Message,SensorType,Activity
2013-03-06,2013-03-06 00:19:26,2013-03-06 00:21:16,MA015,Bedroom,Bedroom,ON,Control4-MotionArea,Other_Activity
2013-03-06,2013-03-06 00:21:16,2013-03-06 00:25:29,MA006,Bathroom,Bathroom,ON,Control4-MotionArea,Bed_Toilet_Transition
2013-03-06,2013-03-06 00:25:30,2013-03-06 00:27:11,LS006,Ignore,Ignore,0,Control4-LightSensor,Other_Activity
2013-03-06,2013-03-06 00:27:15,2013-03-06 06:25:06,MA014,Bedroom,Bedroom,ON,Control4-MotionArea,Sleep
2013-03-06,2013-03-06 06:25:08,2013-03-06 06:28:10,LS015,Ignore,Ignore,10,Control4-LightSensor,Other_Activity
2013-03-06,2013-03-06 06:28:10,2013-03-06 06:48:28,MA006,Bathroom,Bathroom,ON,Control4-MotionArea,Bathe
2013-03-06,2013-03-06 06:48:35,2013-03-06 06:49:03,LS003,Ignore,Ignore,9,Control4-LightSensor,Other_Activity
2013-03-06,2013-03-06 06:49:07,2013-03-06 06:49:08,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Dress
2013-03-06,2013-03-06 06:49:12,2013-03-06 06:49:13,LS007,Ignore,Ignore,15,Control4-LightSensor,Other_Activity
2013-03-06,2013-03-06 06:49:13,2013-03-06 07:05:37,MA014,Bedroom,Bedroom,ON,Control4-MotionArea,Dress
2013-03-06,2013-03-06 07:05:38,2013-03-06 07:13:39,MA014,Bedroom,Bedroom,ON,Control4-MotionArea,Phone
2013-03-06,2013-03-06 07:13:47,2013-03-06 07:13:53,M004,LivingRoom,Hall,ON,Control4-Motion,Other_Activity
2013-03-06,2013-03-06 07:13:53,2013-03-06 07:15:56,MA006,Bathroom,Bathroom,ON,Control4-MotionArea,Groom
2013-03-06,2013-03-06 07:16:00,2013-03-06 07:19:02,LS006,Ignore,Ignore,0,Control4-LightSensor,Other_Activity
2013-03-06,2013-03-06 07:19:05,2013-03-06 07:24:12,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Relax
2013-03-06,2013-03-06 07:24:19,2013-03-06 07:28:32,M004,LivingRoom,Hall,ON,Control4-Motion,Other_Activity
2013-03-06,2013-03-06 07:28:39,2013-03-06 07:34:01,MA011,Kitchen,Kitchen,ON,Control4-MotionArea,Cook_Breakfast
2013-03-06,2013-03-06 07:34:02,2013-03-06 07:34:19,LS002,Ignore,Ignore,0,Control4-LightSensor,Other_Activity
2013-03-06,2013-03-06 07:34:23,2013-03-06 07:50:32,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Eat_Breakfast
2013-03-06,2013-03-06 07:50:36,2013-03-06 07:50:42,MA016,LivingRoom,LivingRoom,ON,Control4-MotionArea,Other_Activity
2013-03-06,2013-03-06 07:50:42,2013-03-06 07:51:03,M001,Kitchen,Kitchen,ON,Control4-Motion,Morning_Meds
2013-03-06,2013-03-06 07:51:03,2013-03-06 07:52:33,MA013,DiningRoom,DiningRoom,ON,Control4-MotionArea,Other_Activity
2013-03-06,2013-03-06 07:52:38,2013-03-06 07:53:32,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Dress
2013-03-06,2013-03-06 07:53:40,2013-03-06 07:53:47,LS015,Ignore,Ignore,2,Control4-LightSensor,Other_Activity
2013-03-06,2013-03-06 07:53:57,2013-03-06 07:55:06,M004,LivingRoom,Hall,ON,Control4-Motion,Leave_Home
2013-03-06,2013-03-06 08:02:00,2013-03-06 12:54:47,LS006,Ignore,Ignore,0,Control4-LightSensor,Other_Activity
2013-03-06,2013-03-06 12:59:25,2013-03-06 13:00:14,D002,OutsideDoor,FrontDoor,OPEN,Control4-Door,Enter_Home
2013-03-06,2013-03-06 13:00:18,2013-03-06 13:04:14,MA013,DiningRoom,DiningRoom,ON,Control4-MotionArea,Other_Activity
2013-03-06,2013-03-06 13:04:15,2013-03-06 13:06:52,MA011,Kitchen,Kitchen,ON,Control4-MotionArea,Wash_Dishes
2013-03-06,2013-03-06 13:06:54,2013-03-06 13:07:52,LS013,Ignore,Ignore,11,Control4-LightSensor,Other_Activity
2013-03-06,2013-03-06 13:07:52,2013-03-06 13:22:03,MA014,Bedroom,Bedroom,ON,Control4-MotionArea,Phone
2013-03-06,2013-03-06 13:22:09,2013-03-06 13:22:30,MA014,Bedroom,Bedroom,ON,Control4-MotionArea,Other_Activity
2013-03-06,2013-03-06 13:22:30,2013-03-06 13:23:35,MA011,Kitchen,Kitchen,ON,Control4-MotionArea,Drink
2013-03-06,2013-03-06 13:23:35,2013-03-06 13:23:45,MA013,DiningRoom,DiningRoom,ON,Control4-MotionArea,Other_Activity
2013-03-06,2013-03-06 13:23:49,2013-03-06 13:53:41,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Watch_TV
2013-03-06,2013-03-06 13:53:42,2013-03-06 13:53:54,LS016,Ignore,Ignore,11,Control4-LightSensor,Other_Activity
2013-03-06,2013-03-06 13:53:54,2013-03-06 13:58:09,M001,Kitchen,Kitchen,ON,Control4-Motion,Wash_Dishes
2013-03-06,2013-03-06 13:58:25,2013-03-06 13:59:03,MA013,DiningRoom,DiningRoom,ON,Control4-MotionArea,Other_Activity
2013-03-06,2013-03-06 14:00:05,2013-03-06 14:32:50,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Relax
2013-03-06,2013-03-06 14:32:54,2013-03-06 14:34:02,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Other_Activity
2013-03-06,2013-03-06 14:34:04,2013-03-06 14:35:54,MA006,Bathroom,Bathroom,ON,Control4-MotionArea,Toilet
2013-03-06,2013-03-06 14:35:54,2013-03-06 14:38:18,LS006,Ignore,Ignore,0,Control4-LightSensor,Other_Activity
2013-03-06,2013-03-06 14:38:42,2013-03-06 14:38:47,MA015,Bedroom,Bedroom,ON,Control4-MotionArea,Relax
2013-03-06,2013-03-06 14:38:47,2013-03-06 14:46:15,LS013,Ignore,Ignore,3,Control4-LightSensor,Other_Activity
2013-03-06,2013-03-06 14:46:32,2013-03-06 14:47:39,M004,LivingRoom,Hall,ON,Control4-Motion,Leave_Home
2013-03-06,2013-03-06 14:55:41,2013-03-06 16:15:39,LS015,Ignore,Ignore,3,Control4-LightSensor,Other_Activity
2013-03-06,2013-03-06 16:22:33,2013-03-06 16:23:23,D002,OutsideDoor,FrontDoor,OPEN,Control4-Door,Enter_Home
