Date,StartDateTime,EndDateTime,Sensor,Translate01,Translate02,Message,SensorType,Activity
2013-03-02,2013-03-02 02:33:10,2013-03-02 02:35:02,MA014,Bedroom,Bedroom,ON,Control4-MotionArea,Sleep
2013-03-02,2013-03-02 02:38:19,2013-03-02 02:39:14,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Other_Activity
2013-03-02,2013-03-02 02:39:14,2013-03-02 02:42:48,MA006,Bathroom,Bathroom,ON,Control4-MotionArea,Bed_Toilet_Transition
2013-03-02,2013-03-02 02:42:51,2013-03-02 02:44:28,LS006,Ignore,Ignore,0,Control4-LightSensor,Other_Activity
2013-03-02,2013-03-02 02:44:28,2013-03-02 07:54:46,MA014,Bedroom,Bedroom,ON,Control4-MotionArea,Sleep
2013-03-02,2013-03-02 07:54:48,2013-03-02 08:02:54,MA015,Bedroom,Bedroom,ON,Control4-MotionArea,Other_Activity
2013-03-02,2013-03-02 08:02:56,2013-03-02 08:04:46,MA006,Bathroom,Bathroom,ON,Control4-MotionArea,Toilet
2013-03-02,2013-03-02 08:04:48,2013-03-02 08:09:48,LS004,Ignore,Ignore,5,Control4-LightSensor,Other_Activity
2013-03-02,2013-03-02 08:09:54,2013-03-02 08:11:22,MA011,Kitchen,Kitchen,ON,Control4-MotionArea,Morning_Meds
2013-03-02,2013-03-02 08:11:23,2013-03-02 08:13:04,MA013,DiningRoom,DiningRoom,ON,Control4-MotionArea,Other_Activity
2013-03-02,2013-03-02 08:13:04,2013-03-02 08:16:25,MA006,Bathroom,Bathroom,ON,Control4-MotionArea,Personal_Hygiene
2013-03-02,2013-03-02 08:16:35,2013-03-02 08:17:21,M004,LivingRoom,Hall,ON,Control4-Motion,Other_Activity
2013-03-02,2013-03-02 08:17:21,2013-03-02 08:38:01,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Watch_TV
2013-03-02,2013-03-02 08:38:08,2013-03-02 08:40:26,LS004,Ignore,Ignore,5,Control4-LightSensor,Other_Activity
2013-03-02,2013-03-02 08:40:33,2013-03-02 08:44:38,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Dress
2013-03-02,2013-03-02 08:44:40,2013-03-02 08:44:59,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Other_Activity
2013-03-02,2013-03-02 08:44:59,2013-03-02 08:47:30,MA006,Bathroom,Bathroom,ON,Control4-MotionArea,Personal_Hygiene
2013-03-02,2013-03-02 08:47:35,2013-03-02 08:47:45,LS004,Ignore,Ignore,1,Control4-LightSensor,Other_Activity
2013-03-02,2013-03-02 08:47:45,2013-03-02 08:49:04,MA011,Kitchen,Kitchen,ON,Control4-MotionArea,Drink
2013-03-02,2013-03-02 08:49:05,2013-03-02 08:49:35,LS001,Ignore,Ignore,0,Control4-LightSensor,Other_Activity
2013-03-02,2013-03-02 08:49:35,2013-03-02 08:52:43,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Dress
2013-03-02,2013-03-02 08:53:00,2013-03-02 08:53:55,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Other_Activity
2013-03-02,2013-03-02 08:53:55,2013-03-02 08:54:16,M004,LivingRoom,Hall,ON,Control4-Motion,Leave_Home
2013-03-02,2013-03-02 08:54:23,2013-03-02 09:24:22,LS012,Ignore,Ignore,22,Control4-LightSensor,Other_Activity
2013-03-02,2013-03-02 09:28:02,2013-03-02 09:28:23,D002,OutsideDoor,FrontDoor,OPEN,Control4-Door,Enter_Home
2013-03-02,2013-03-02 09:28:30,2013-03-02 09:30:54,LS007,Ignore,Ignore,11,Control4-LightSensor,Other_Activity
2013-03-02,2013-03-02 09:30:55,2013-03-02 10:06:03,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Watch_TV
2013-03-02,2013-03-02 10:06:03,2013-03-02 10:06:23,LS007,Ignore,Ignore,29,Control4-LightSensor,Other_Activity
2013-03-02,2013-03-02 10:06:24,2013-03-02 10:08:54,M001,Kitchen,Kitchen,ON,Control4-Motion,Drink
2013-03-02,2013-03-02 10:08:55,2013-03-02 10:09:12,LS002,Ignore,Ignore,1,Control4-LightSensor,Other_Activity
2013-03-02,2013-03-02 10:09:12,2013-03-02 10:11:15,MA006,Bathroom,Bathroom,ON,Control4-MotionArea,Toilet
2013-03-02,2013-03-02 10:11:19,2013-03-02 10:11:19,LS004,Ignore,Ignore,8,Control4-LightSensor,Other_Activity
2013-03-02,2013-03-02 10:11:19,2013-03-02 10:11:54,M004,LivingRoom,Hall,ON,Control4-Motion,Leave_Home
2013-03-02,2013-03-02 10:13:12,2013-03-02 13:26:04,T104,Ignore,BedroomTemp,25,Control4-Temperature,Other_Activity
2013-03-02,2013-03-02 13:26:37,2013-03-02 13:26:53,D002,OutsideDoor,FrontDoor,OPEN,Control4-Door,Enter_Home
2013-03-02,2013-03-02 13:27:04,2013-03-02 13:28:12,LS013,Ignore,Ignore,6,Control4-LightSensor,Other_Activity
2013-03-02,2013-03-02 13:28:13,2013-03-02 13:45:09,MA014,Bedroom,Bedroom,ON,Control4-MotionArea,Phone
2013-03-02,2013-03-02 13:45:10,2013-03-02 13:46:02,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Other_Activity
2013-03-02,2013-03-02 13:46:07,2013-03-02 13:47:47,MA006,Bathroom,Bathroom,ON,Control4-MotionArea,Toilet
2013-03-02,2013-03-02 13:47:51,2013-03-02 13:47:59,M004,LivingRoom,Hall,ON,Control4-Motion,Other_Activity
2013-03-02,2013-03-02 13:47:59,2013-03-02 13:50:16,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Dress
2013-03-02,2013-03-02 13:50:28,2013-03-02 13:50:36,MA015,Bedroom,Bedroom,ON,Control4-MotionArea,Other_Activity
2013-03-02,2013-03-02 13:50:46,2013-03-02 13:52:50,M004,LivingRoom,Hall,ON,Control4-Motion,Leave_Home
2013-03-02,2013-03-02 13:55:19,2013-03-02 15:45:39,LS016,Ignore,Ignore,10,Control4-LightSensor,Other_Activity
2013-03-02,2013-03-02 15:46:10,2013-03-02 15:48:02,D002,OutsideDoor,FrontDoor,OPEN,Control4-Door,Enter_Home
2013-03-02,2013-03-02 15:48:08,2013-03-02 15:50:31,LS013,Ignore,Ignore,11,Control4-LightSensor,Other_Activity
2013-03-02,2013-03-02 15:50:48,2013-03-02 16:10:03,MA014,Bedroom,Bedroom,ON,Control4-MotionArea,Phone
2013-03-02,2013-03-02 16:10:09,2013-03-02 16:10:19,LS016,Ignore,Ignore,3,Control4-LightSensor,Other_Activity
2013-03-02,2013-03-02 16:10:20,2013-03-02 16:12:52,MA011,Kitchen,Kitchen,ON,Control4-MotionArea,Wash_Dishes
2013-03-02,2013-03-02 16:12:52,2013-03-02 16:13:18,LS013,Ignore,Ignore,6,Control4-LightSensor,Other_Activity
2013-03-02,2013-03-02 16:13:20,2013-03-02 16:14:29,MA011,Kitchen,Kitchen,ON,Control4-MotionArea,Wash_Breakfast_Dishes
2013-03-02,2013-03-02 16:14:30,2013-03-02 16:15:00,LS002,Ignore,Ignore,1,Control4-LightSensor,Other_Activity
2013-03-02,2013-03-02 16:15:00,2013-03-02 17:44:09,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Watch_TV
2013-03-02,2013-03-02 17:44:23,2013-03-02 17:44:38,LS004,Ignore,Ignore,16,Control4-LightSensor,Other_Activity
2013-03-02,2013-03-02 17:44:38,2013-03-02 17:47:20,MA006,Bathroom,Bathroom,ON,Control4-MotionArea,Toilet
2013-03-02,2013-03-02 17:47:21,2013-03-02 17:47:59,LS006,Ignore,Ignore,0,Control4-LightSensor,Other_Activity
2013-03-02,2013-03-02 17:47:59,2013-03-02 18:05:58,MA011,Kitchen,Kitchen,ON,Control4-MotionArea,Cook_Dinner
2013-03-02,2013-03-02 18:05:58,2013-03-02 18:06:12,MA013,DiningRoom,DiningRoom,ON,Control4-MotionArea,Other_Activity
2013-03-02,2013-03-02 18:06:12,2013-03-02 18:06:29,MA007,Bedroom,Bedroom,ON,Control4-MotionArea,Eat_Dinner
2013-03-02,2013-03-02 18:15:49,2013-03-02 18:15:52,LS002,Ignore,Ignore,36,Control4-LightSensor,Other_Activity
2013-03-02,2013-03-02 18:30:33,2013-03-02 19:55:01,MA014,Bedroom,Bedroom,ON,Control4-MotionArea,Watch_TV
2013-03-02,2013-03-02 19:55:15,2013-03-02 19:55:18,MA013,DiningRoom,DiningRoom,ON,Control4-MotionArea,Other_Activity
2013-03-02,2013-03-02 19:55:20,2013-03-02 20:10:12,M001,Kitchen,Kitchen,ON,Control4-Motion,Wash_Dinner_Dishes
2013-03-02,2013-03-02 20:10:13,2013-03-02 20:11:13,MA013,DiningRoom,DiningRoom,ON,Control4-MotionArea,Other_Activity
2013-03-02,2013-03-02 20:11:13,2013-03-02 20:20:30,MA011,Kitchen,Kitchen,ON,Control4-MotionArea,Wash_Dinner_Dishes
2013-03-02,2013-03-02 20:20:31,2013-03-02 20:21:06,MA013,DiningRoom,DiningRoom,ON,Control4-MotionArea,Other_Activity
2013-03-02,2013-03-02 20:21:06,2013-03-02 20:24:50,MA006,Bathroom,Bathroom,ON,Control4-MotionArea,Personal_Hygiene
2013-03-02,2013-03-02 20:24:55,2013-03-02 20:25:13,LS004,Ignore,Ignore,18,Control4-LightSensor,Other_Activity
